№,Equipment category,ISO,Name of ISO
22,Thermoforming machines,ISO 13849-1,Safety-related parts of control systems
23,Block compression molding,ISO 12100,Machinery safety
23,Block compression molding,ISO 13849-1,Safety-related parts of control systems
24,Foam molding equipment,ISO 12100,Machinery safety
24,Foam molding equipment,ISO 13849-1,Safety-related parts of control systems
25,Vernier calipers,ISO 3611,Micrometers and calipers
25,Vernier calipers,ISO 1938,Gauge blocks
26,Micrometers,ISO 3611,Micrometers and calipers
26,Micrometers,ISO 1938,Gauge blocks
27,Dial indicators / Dial gauges,ISO 463,Dial gauges
27,Dial indicators / Dial gauges,ISO 1938,Gauge blocks
28,Coordinate measuring machines (CMM),ISO 10360,Acceptance and reverification tests for coordinate measuring machines
28,Coordinate measuring machines (CMM),ISO 15530,Measurement uncertainty
29,"Non-destructive testing equipment (ultrasonic, eddy current)",ISO 16809,Ultrasonic testing
29,"Non-destructive testing equipment (ultrasonic, eddy current)",ISO 12799,Eddy current testing
30,Optical measuring instruments,ISO 4287,Surface texture
30,Optical measuring instruments,ISO 25178,Areal surface texture
31,"Electric forklifts, stackers",ISO 3691-4,Industrial trucks — Safety requirements
31,"Electric forklifts, stackers",ISO 12100,Machinery safety
32,"Conveyors (belt, chain, roller)",ISO 15236,Conveyor belts
32,"Conveyors (belt, chain, roller)",ISO 12100,Machinery safety
33,Lifts / Hoists,ISO 16315,Lifts and lifting platforms
33,Lifts / Hoists,ISO 3691-4,Industrial trucks — Safety requirements
34,"Trolleys, containers, racks",ISO 2855,Industrial trucks
34,"Trolleys, containers, racks",ISO 15512,Storage racks
35,Cooling and lubrication systems,ISO 14001,Environmental management
35,Cooling and lubrication systems,ISO 4406,Hydraulic fluid cleanliness
36,Compressors,ISO 1217,Displacement compressors
36,Compressors,ISO 19439,Compressor safety
37,"Part cleaning systems (degreasing, sandblasting, ultrasonic washing)",ISO 15740,Cleaning of metal surfaces
37,"Part cleaning systems (degreasing, sandblasting, ultrasonic washing)",ISO 4892,Exposure to laboratory light sources
38,Drying chambers,ISO 15740,Cleaning of metal surfaces
38,Drying chambers,ISO 4892,Exposure to laboratory light sources
39,Tool stands / Tool cabinets,ISO 12100,Machinery safety
39,Tool stands / Tool cabinets,ISO 3611,Micrometers and calipers
40,"Cutting tools, milling cutters, drills, countersinks, reamers",ISO 13399,Cutting tool data representation
40,"Cutting tools, milling cutters, drills, countersinks, reamers",ISO 2858,Tool holders
41,"Chucks, collets, vises",ISO 2858,Tool holding devices
41,"Chucks, collets, vises",ISO 10893,Chucks and collets
42,"Gauges, feeler gauges",ISO 1938,Gauge blocks
42,"Gauges, feeler gauges",ISO 6789,Torque tools calibration
43,"Templates, jigs, fixtures",ISO 2768,General tolerances
43,"Templates, jigs, fixtures",ISO 1101,Geometrical product specifications
44,"Patterns, molds, dies",ISO 20457,Moulds and dies
44,"Patterns, molds, dies",ISO 2768,General tolerances
45,Computer-Aided Design (CAD) software,ISO 2768,General tolerances
46,Reaming Machine,ISO 230-1,Test code for machine tools — Part 1: Geometric accuracy of machines operating under no-load or quasi-static conditions
47,Slotting Machine,ISO 230-1,Test code for machine tools — Part 1: Geometric accuracy of machines operating under no-load or quasi-static conditions
47,Slotting Machine,ISO 10791,Machining centres — Testing conditions
48,Key-seating Machine,ISO 10791,Machining centres — Testing conditions
49,Deburring Machine,ISO 15740,Cleaning of metal surfaces
50,Polishing Machine,ISO 15740,Cleaning of metal surfaces
50,Polishing Machine,ISO 4892,Exposure to laboratory light sources
51,Coating Machine,ISO 12100,Machinery safety
52,Packaging Machine,ISO 12100,Machinery safety
53,Knurling Tool,ISO 230-1,Test code for machine tools — Part 1: Geometric accuracy of machines operating under no-load or quasi-static conditions
53,Knurling Tool,ISO 7944,Accuracy of numerical control axes on machine tools
54,Tapping machine,ISO 230-1,Test code for machine tools — Part 1: Geometric accuracy of machines operating under no-load or quasi-static conditions
54,Tapping machine,ISO 10794,Horizontal boring and milling machines — Testing
55,Lapping Machine,ISO 12100,Machinery safety
56,Burnishing Machine,ISO 12100,Machinery safety
57,Manual tools,ISO 15740,Cleaning of metal surfaces
58,Marking Machine,ISO 12100,Machinery safety
59,Waterjet Cutting Machine,ISO 12100,Machinery safety
59,Waterjet Cutting Machine,ISO 13849-1,Safety-related parts of control systems
60,Laser Cutting Machine,ISO 12100,Machinery safety
60,Laser Cutting Machine,ISO 11553-1,Laser processing machines
61,EDM Machine,ISO 12100,Machinery safety
61,EDM Machine,ISO 13849-1,Safety-related parts of control systems
62,Broaching Machine,ISO 12100,Machinery safety
62,Broaching Machine,ISO 13849-1,Safety-related parts of control systems
63,Sand-blasting Machine,ISO 12100,Machinery safety
63,Sand-blasting Machine,ISO 13849-1,Safety-related parts of control systems
64,Honing Machine,ISO 12100,Machinery safety
64,Honing Machine,ISO 13849-1,Safety-related parts of control systems
